L2_ID,두산 L2,L3_ID,L3_Name,L4_ID,L4_Name,L4_Description,L5_ID,L5_Name,L5_Description
1,채용,1.1,채용 전략 수립,1.1.1,채용 전략 수립,회사의 채용 방향성/전략 수립 관련 업무,1.1.1.1,채용 방향성 설정,해당년도 채용 방향성 기획안 작성
1,채용,1.1,채용 전략 수립,1.1.1,채용 전략 수립,,1.1.1.2,채용 트렌드 분석,최근 국내외 채용 시장의 트렌드 분석
1,채용,1.1,채용 전략 수립,1.1.1,채용 전략 수립,,1.1.1.3,채용 콘셉트 도출,두산의 비전과 Align 된 채용 브랜딩 전략 및 콘셉트 도출
1,채용,1.1,채용 전략 수립,1.1.1,채용 전략 수립,,1.1.1.4,홍보 채널 전략 수립,타깃 인재 노출 극대화를 위한 전략적 채널 활용 계획 수립
1,채용,1.1,채용 전략 수립,1.1.2,채용 대상 선정,"주요 포지션(직군, 직무)의 원활한 채용을 위한 외부환경 분석을 실시함",1.1.2.1,경쟁사 분석,"국내외 주요 경쟁사(북미, 유럽, 국내외 대기업 등)의 인력 확보 현황, 연봉, 수요 분석"
1,채용,1.1,채용 전략 수립,1.1.2,채용 대상 선정,,1.1.2.2,채용 Target 설정,각 포지션에 적합한 채용 타겟을 설정
1,채용,1.1,채용 전략 수립,1.1.2,채용 대상 선정,,1.1.2.3,타깃군 분석,"타깃군(우수인재)의 국/내외 처우 수준, 커리어 패스 조사 및 리서치"
1,채용,1.2,채용 브랜드 구축,1.2.1,그룹채용 브랜드 구축,인재 채용에 앞서 회사의 가치와 매력을 효과적으로 알리고 우수한 인재를 영입하기 위해 채용 브랜딩 전략을 수립하고 실행하는 활동,1.2.1.1,채용 브랜드 강화 전략 수립,두산의 비전과 핵심가치를 홍보할 수 있는 채용 브랜드 도출
1,채용,1.2,채용 브랜드 구축,1.2.1,그룹채용 브랜드 구축,,1.2.1.2,채용 브랜드 메시지/이미지 개발,차별화 된 채용 메시지(예. Catch Phrase)와 공통 이미지 개발
1,채용,1.2,채용 브랜드 구축,1.2.1,그룹채용 브랜드 구축,,1.2.1.3,채용 브랜드 전파,지원자 대상 두산 채용 브랜드 전파 (=결국은 홍보와 연결되는 것 같습니다.)
1,채용,1.2,채용 브랜드 구축,1.2.2,홍보 컨텐츠 기획,잠재적 지원자가 회사/사업/채용 관련 다양한 정보를 한 눈에 확인할 수 있도록 채용 홍보 콘텐츠를 기획함,1.2.2.1,홍보 컨텐츠 제작 계획 수립,"제작 컨텐츠 종류, 제작 방향성, 제작 일정/예산, 제작 지원 인력 선정 등 전과정 포함"
1,채용,1.2,채용 브랜드 구축,1.2.2,홍보 컨텐츠 기획,,1.2.2.2,제작 업체 선정 및 품의,"홍보물 제작 업체 Pool 확인 및 선정 (견적 등 포함), 예산 품의 등"
1,채용,1.2,채용 브랜드 구축,1.2.3,홍보 컨텐츠 제작,,1.2.3.1,홍보물 제작 진행,"업체 등을 활용한 시나리오, 세부 디자인 작업 등"
1,채용,1.2,채용 브랜드 구축,1.2.3,홍보 컨텐츠 제작,"기업이 제공하는 가치, 문화, 성장 기회 등 고유한 Employer Value Proposition을 정립하고 일관되게 전달하는 업무",1.2.3.2,홍보물 보고,제작 홍보물 내부 보고(-전 reporting 라인)
1,채용,1.2,채용 브랜드 구축,1.2.4,홍보 컨텐츠 노출,,1.2.4.1,홍보 업체 선정 및 계약,홍보를 위한 외부 업체 선정 및 계약 진행
1,채용,1.2,채용 브랜드 구축,1.2.4,홍보 컨텐츠 노출,,1.2.4.2,홍보물 게시,"홍보물 게시(온/오프라인) 및 후속 관리
-온라인: 온라인 홍보 이미지/홈페이지, 인스타그램, 링크드인, 유튜브 등
- 오프라인: 현수막/포스터 게시 등"
1,채용,1.2,채용 브랜드 구축,1.2.5,채용 홍보 채널 관리,채용 홍보물이 게시되고 있는 채널들을 관리함,1.2.5.1,커리어두산 홍보 콘텐츠 관리,"두산 공식 채용 사이트에 공동으로 게시되는 홍보 사항 등을 업데이트하여, 지원자에게 회사 관련 최신 정보를 제공"
1,채용,1.2,채용 브랜드 구축,1.2.5,채용 홍보 채널 관리,,1.2.5.2,채용 홍보 홈페이지 콘텐츠 업데이트,"자회사 채용 진행을 위한 홍보 사이트(예. 마이크로 페이지 등) 최신 공고, 직원 인터뷰, 기업 문화 소개 등을 정기적으로 게시하여 지원자에게 최신 정보를 제공"
1,채용,1.2,채용 브랜드 구축,1.2.6,채용 홍보 채널 효과성 분석,운영 효율화 및 개선을 위해 채용 홍보가 이루어지고 있는 채널들의 효과성을 분석함,1.2.6.1,홍보 및 입사지원 유입 데이터를 파악,지원자의 채용정보 인지 채널 확인
1,채용,1.2,채용 브랜드 구축,1.2.6,채용 홍보 채널 효과성 분석,,1.2.6.2,채용 채널 데이터 추출 및 분석,지원자의 채용정보 인지 채널 확인
1,채용,1.2,채용 브랜드 구축,1.2.6,채용 홍보 채널 효과성 분석,,1.2.6.2,채용 채널 데이터 추출 및 분석,사이트 통계를 활용한 자사 채용페이지 유입률 분석 수행
1,채용,1.2,채용 브랜드 구축,1.2.6,채용 홍보 채널 효과성 분석,,1.2.6.3,채용 채널 모니터링,사이트 통계를 활용한 지원자 유입 경로 및 이탈 포인트 모니터링 및 분석
1,채용,1.2,채용 브랜드 구축,1.2.7,Pre-recruiting  기획,조직의 목표와 인재상에 맞는 Pre-recruiting 구조를 설계함,1.2.7.1,Pre-recruiting 전략 수립,효과적인 Pre-recruiting 진행을 위한 세부 전략을 기획하고 보고함
1,채용,1.2,채용 브랜드 구축,1.2.7,Pre-recruiting  기획,,1.2.7.2,우수인재 파이프라인 발급,논문/학회/커뮤니티 등 우수인재를 유치할 수 있는 파이프라인을 발굴함(산학과제 수행 인력 Caring 등 포함)
1,채용,1.2,채용 브랜드 구축,1.2.8,Pre-recruiting 실행,기획 단계에서 마련한 Pre-recruiting 전략을 실행함,1.2.8.1,Pre-recruiting 활동 실행,주요 학회/커뮤니티 직접 등록 및 참여 등 포함
1,채용,1.2,채용 브랜드 구축,1.2.9,Pre-recruiting 후속 관리,Pre-recruiting 프로그램 실행을 통한 결과를 내부 시스템에 반영하고 개선함,1.2.9.1,Pre-recruiting 후속 관리,타깃 인재 DB화 및 커리어 트래킹
1,채용,1.2,채용 브랜드 구축,1.2.10,지원자 경험 관리,"지원자가 채용 과정에서 겪는 커뮤니케이션, 면접 경험, 피드백 제공 등을 체계적으로 관리하는 업무",1.2.10.1,커뮤니케이션 관리,지원자의 질문·문의에 신속하고 친절하게 응대함
1,채용,1.2,채용 브랜드 구축,1.2.10,지원자 경험 관리,,1.2.10.2,지원자 문의 응대,면접 장소·온라인 시스템을 지원자 친화적으로 준비함
1,채용,1.2,채용 브랜드 구축,1.2.10,지원자 경험 관리,,1.2.10.3,면접 환경 조성,불합격자 및 합격자에게 적절한 피드백을 제공함
1,채용,1.2,채용 브랜드 구축,1.2.10,지원자 경험 관리,,1.2.10.4,피드백 제공,조사 결과와 피드백을 분석하여 개선 과제를 도출함
1,채용,1.2,채용 브랜드 구축,1.2.10,지원자 경험 관리,,1.2.10.5,개선 과제 도출,채용 과정에서 기업 브랜드를 긍정적으로 경험하도록 설계함
1,채용,1.2,채용 브랜드 구축,1.2.10,지원자 경험 관리,,1.2.10.6,브랜드 경험 강화,지원자 경험 관련 데이터를 수집·분석하여 관리함
1,채용,1.3,채용 홍보 활동 (오프라인),1.3.1,캠퍼스 리쿠르팅 준비/운영,"대학과의 파트너십을 통해 채용 설명회, 직무 상담 등 캠퍼스 리쿠르팅을 운영하는 업무",1.3.1.1,C/R 계획 수립,"C/R의 목적, 일정, 장소 대상 등을 정의하고 세부 계획을 수립함"
